scenario_id,category,prompt,expected_domains,predicted_domain,domain_match,expected_action,acceptable_actions,selected_action,primary_action_match,acceptable_action_match,consensus_score,rar_triggered,rar_accepted,utility,performance_score,cost_efficiency_score,risk_reduction_score,xi
pm001,cross_domain_release_governance,"The latest release failed, users are seeing high latency, and security flagged a policy violation. What should we do?","[""DevOps"", ""SRE"", ""DevSecOps""]",DevOps,True,Patch or block release,"[""Patch or block release"", ""Rollback to stable deployment"", ""Mitigate and monitor"", ""Scale adjustment""]",Block release and fix pipeline,True,True,0.8,False,False,0.9175,0.6325,0.75,0.765,0.84
pm002,cost_governance,Our cloud costs increased significantly after autoscaling changes. Can you analyze and recommend what we should do?,"[""FinOps""]",SRE,False,Scale adjustment,"[""Scale adjustment""]",Mitigate and monitor,False,False,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm003,security_compliance_governance,Security scanning detected policy violations and critical vulnerabilities in the current release. Should we proceed with deployment?,"[""DevSecOps""]",DevSecOps,True,Patch or block release,"[""Patch or block release""]",Patch or block release,True,True,0.92,False,False,1.0494,0.4325,0.7,0.888,0.81
pm004,reliability_operations,Users are reporting very slow response times and repeated timeouts across services. Please evaluate the situation.,"[""SRE""]",SRE,True,Mitigate and monitor,"[""Mitigate and monitor"", ""Scale adjustment""]",Scale adjustment,False,True,0.92,False,False,0.8104,0.609,0.54,0.4825,0.808
pm005,release_governance,The latest deployment failed and services are restarting repeatedly. The pipeline also reported configuration drift. What action should we take?,"[""DevOps""]",DevOps,True,Rollback to stable deployment,"[""Rollback to stable deployment"", ""Block release and fix pipeline""]",Block release and fix pipeline,False,True,0.92,False,False,0.8845,0.6325,0.75,0.655,0.8085
pm006,release_governance,"URGENT: Production is unstable after the latest deployment, and multiple services are failing. What is the recommended governance action?","[""DevOps"", ""SRE""]",SRE,True,Rollback to stable deployment,"[""Rollback to stable deployment"", ""Block release and fix pipeline"", ""Mitigate and monitor"", ""Scale adjustment""]",Mitigate and monitor,False,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm007,cross_domain_release_governance,"The release pipeline passed successfully, but security reported policy violations and IAM drift. Should we continue rollout?","[""DevOps"", ""DevSecOps""]",DevSecOps,True,Patch or block release,"[""Patch or block release"", ""Rollback to stable deployment""]",Patch or block release,True,True,0.92,False,False,0.9762,0.3575,0.7,0.744,0.8086
pm008,cross_domain_cost_reliability,"Performance improved after scaling changes, but infrastructure costs nearly doubled. Should we keep the current setup?","[""SRE"", ""FinOps""]",SRE,True,Scale adjustment,"[""Scale adjustment"", ""Mitigate and monitor""]",Mitigate and monitor,False,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm009,pm_prioritization_escalation,The release keeps failing validation checks and our sprint commitment is now at risk. What should I prioritize and escalate?,"[""DevOps""]",SRE,False,Rollback to stable deployment,"[""Rollback to stable deployment"", ""Block release and fix pipeline""]",Mitigate and monitor,False,False,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm010,reliability_operations,Error rates increased after a recent configuration change and customers are affected. What is the recommended next step?,"[""SRE"", ""DevOps""]",SRE,True,Mitigate and monitor,"[""Mitigate and monitor"", ""Rollback to stable deployment"", ""Block release and fix pipeline"", ""Scale adjustment""]",Scale adjustment,False,True,0.92,False,False,0.8104,0.609,0.54,0.4825,0.808
pm011,cost_governance,"Cloud spending is rising week over week, but I do not see a corresponding product benefit. What should we do?","[""FinOps""]",FinOps,True,Scale adjustment,"[""Scale adjustment""]",Review scaling policy,True,True,0.62,True,False,0.7306,0.3325,0.7575,0.401,0.8091
pm012,cross_domain_release_governance,"Security recommends blocking the release due to policy violations, but engineering says the build is stable. What is the governance recommendation?","[""DevSecOps"", ""DevOps""]",DevSecOps,True,Patch or block release,"[""Patch or block release"", ""Rollback to stable deployment""]",Patch or block release,True,True,0.92,False,False,0.9762,0.3575,0.7,0.744,0.8086
pm013,reliability_operations,"Latency and error rates are increasing, and I am concerned we will breach our service commitments. What should we do?","[""SRE""]",SRE,True,Mitigate and monitor,"[""Mitigate and monitor"", ""Scale adjustment""]",Scale adjustment,False,True,0.92,False,False,0.8104,0.609,0.54,0.4825,0.808
pm014,cost_governance,"After increasing autoscaling capacity, our cloud bill spiked unexpectedly. Should we revise scaling settings?","[""FinOps""]",SRE,False,Scale adjustment,"[""Scale adjustment""]",Mitigate and monitor,False,False,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
