scenario_id,model,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,domain_consistent,action_consistent,evidence_coverage,unsupported_claim_risk,xi
pm001,gpt-4o-mini,1154,248,1402,0.0003219,True,True,1.0,0.2222222222222222,0.6405
pm002,gpt-4o-mini,1100,244,1344,0.0003114,True,True,1.0,0.3275862068965517,0.6254
pm003,gpt-4o-mini,1116,223,1339,0.0003012,True,True,1.0,0.26865671641791045,0.5755
pm004,gpt-4o-mini,1098,254,1352,0.00031709999999999996,True,True,1.0,0.2647058823529412,0.6515
pm005,gpt-4o-mini,1113,199,1312,0.00028635,True,True,1.0,0.2631578947368421,0.5155
pm006,gpt-4o-mini,1103,266,1369,0.00032505,True,True,1.0,0.2597402597402597,0.6664
pm007,gpt-4o-mini,1138,246,1384,0.0003183,True,True,1.0,0.2835820895522388,0.5409
pm008,gpt-4o-mini,1126,267,1393,0.00032910000000000003,True,True,1.0,0.2923076923076923,0.6107
pm009,gpt-4o-mini,1109,218,1327,0.00029715,True,True,1.0,0.45588235294117646,0.4875
pm010,gpt-4o-mini,1107,212,1319,0.00029325,True,True,1.0,0.28846153846153844,0.571
