scenario_id,category,prompt,expected_domains,predicted_domain,domain_match,expected_action,acceptable_actions,selected_action,primary_action_match,acceptable_action_match,consensus_score,rar_triggered,rar_accepted,utility,performance_score,cost_efficiency_score,risk_reduction_score,xi
pm001,cross_domain_release_governance,"The latest release failed, users are seeing high latency, and security flagged a policy violation. What should we do?","[""DevOps"", ""SRE"", ""DevSecOps""]",DevOps,True,Patch or block release,"[""Patch or block release"", ""Rollback to stable deployment"", ""Mitigate and monitor"", ""Scale adjustment""]",Rollback to stable deployment,False,True,0.5,True,False,0.955,0.975,0.65,0.8,0.792
pm002,cost_governance,Our cloud costs increased significantly after autoscaling changes. Can you analyze and recommend what we should do?,"[""FinOps""]",SRE,False,Scale adjustment,"[""Scale adjustment""]",Mitigate and monitor,False,False,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm003,security_compliance_governance,Security scanning detected policy violations and critical vulnerabilities in the current release. Should we proceed with deployment?,"[""DevSecOps""]",DevOps,False,Patch or block release,"[""Patch or block release""]",Block release and fix pipeline,True,True,0.8,False,False,0.985,0.7,0.75,0.9,0.816
pm004,reliability_operations,Users are reporting very slow response times and repeated timeouts across services. Please evaluate the situation.,"[""SRE""]",SRE,True,Mitigate and monitor,"[""Mitigate and monitor"", ""Scale adjustment""]",Scale adjustment,False,True,0.92,False,False,0.8671,0.704,0.54,0.545,0.8
pm005,release_governance,The latest deployment failed and services are restarting repeatedly. The pipeline also reported configuration drift. What action should we take?,"[""DevOps""]",DevOps,True,Rollback to stable deployment,"[""Rollback to stable deployment"", ""Block release and fix pipeline""]",Block release and fix pipeline,False,True,0.92,False,False,0.925,0.7,0.75,0.7,0.771
pm006,release_governance,"URGENT: Production is unstable after the latest deployment, and multiple services are failing. What is the recommended governance action?","[""DevOps"", ""SRE""]",DevOps,True,Rollback to stable deployment,"[""Rollback to stable deployment"", ""Block release and fix pipeline"", ""Mitigate and monitor"", ""Scale adjustment""]",Rollback to stable deployment,True,True,0.77,False,False,1.025,0.975,0.65,0.7,0.816
pm007,cross_domain_release_governance,"The release pipeline passed successfully, but security reported policy violations and IAM drift. Should we continue rollout?","[""DevOps"", ""DevSecOps""]",DevOps,True,Patch or block release,"[""Patch or block release"", ""Rollback to stable deployment""]",Block release and fix pipeline,True,True,0.8,False,False,0.985,0.7,0.75,0.9,0.816
pm008,cross_domain_cost_reliability,"Performance improved after scaling changes, but infrastructure costs nearly doubled. Should we keep the current setup?","[""SRE"", ""FinOps""]",SRE,True,Scale adjustment,"[""Scale adjustment"", ""Mitigate and monitor""]",Scale adjustment,True,True,0.89,False,False,0.8679,0.689,0.6,0.5075,0.84
pm009,pm_prioritization_escalation,The release keeps failing validation checks and our sprint commitment is now at risk. What should I prioritize and escalate?,"[""DevOps""]",DevOps,True,Rollback to stable deployment,"[""Rollback to stable deployment"", ""Block release and fix pipeline""]",Rollback to stable deployment,True,True,0.8600000000000001,False,False,0.9718,0.855,0.65,0.6825,0.837
pm010,reliability_operations,Error rates increased after a recent configuration change and customers are affected. What is the recommended next step?,"[""SRE"", ""DevOps""]",DevOps,True,Mitigate and monitor,"[""Mitigate and monitor"", ""Rollback to stable deployment"", ""Block release and fix pipeline"", ""Scale adjustment""]",Rollback to stable deployment,False,True,0.8,False,False,1.0117,0.955,0.65,0.6825,0.816
